Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8632,0.7159,0.3316,0.4532,0.8173
Decision Tree,0.8272,0.4921,0.3263,0.3924,0.6479
KNN,0.8344,0.5625,0.1421,0.2269,0.6879
GaussianNB,0.8290,0.5000,0.4947,0.4974,0.8129
SVM,0.8569,0.7818,0.2263,0.3510,0.7926
Random Forest,0.8668,0.8182,0.2842,0.4219,0.8327
AdaBoost,0.8578,0.6600,0.3474,0.4552,0.8122
Gradient Boosting,0.8650,0.6695,0.4158,0.5130,0.8285
XGBoost,0.8704,0.7556,0.3579,0.4857,0.8341
LightGBM,0.8641,0.6970,0.3632,0.4775,0.8096
CatBoost,0.8677,0.7363,0.3526,0.4769,0.8326
