Model,Accuracy,Precision,Recall,F1,ROC_AUC
Weighted Soft Voting Ensemble,0.8676867686768677,0.7311827956989247,0.35789473684210527,0.48056537102473496,0.8393851077204412
Logistic Regression,0.8631863186318632,0.7159090909090909,0.33157894736842103,0.45323741007194246,0.8173438482198983
Decision Tree,0.8271827182718272,0.49206349206349204,0.3263157894736842,0.3924050632911392,0.6479484541973827
KNN,0.8343834383438344,0.5625,0.14210526315789473,0.226890756302521,0.6879050231441798
GaussianNB,0.828982898289829,0.5,0.49473684210526314,0.4973544973544973,0.8129178810217725
SVM,0.8568856885688569,0.7818181818181819,0.22631578947368422,0.3510204081632653,0.7926052917309561
Random Forest,0.8667866786678667,0.8181818181818182,0.28421052631578947,0.421875,0.8327390136579234
AdaBoost,0.8577857785778578,0.66,0.3473684210526316,0.45517241379310347,0.8122464140808046
Gradient Boosting,0.864986498649865,0.6694915254237288,0.41578947368421054,0.512987012987013,0.8285273444196811
XGBoost,0.8703870387038704,0.7555555555555555,0.35789473684210527,0.4857142857142857,0.8340705183153323
LightGBM,0.8640864086408641,0.696969696969697,0.3631578947368421,0.47750865051903113,0.8096348362763586
CatBoost,0.8676867686768677,0.7362637362637363,0.3526315789473684,0.47686832740213525,0.8326190068003886
