Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8632,0.7159,0.3316,0.4532,0.8173
Decision Tree,0.8272,0.4921,0.3263,0.3924,0.6479
KNN,0.8344,0.5625,0.1421,0.2269,0.6879
GaussianNB,0.829,0.5,0.4947,0.4974,0.8129
SVM,0.8569,0.7818,0.2263,0.351,0.7926
Random Forest,0.8668,0.7917,0.3,0.4351,0.8259
AdaBoost,0.8578,0.66,0.3474,0.4552,0.8122
Gradient Boosting,0.865,0.6695,0.4158,0.513,0.8285
XGBoost,0.8515,0.6106,0.3632,0.4554,0.79
LightGBM,0.8641,0.697,0.3632,0.4775,0.8096
CatBoost,0.8623,0.6989,0.3421,0.4594,0.8312
