Feature,Importance
RIDAGEYR,0.47009589992008655
LBXSBU,0.23224170024805393
LBXSUA,0.1783173300223863
DIQ010,0.1710000352110299
BPX_SYS_MEAN,0.1649994748078378
LBXSIR,0.13681947994257282
LBXSCH,0.12340289038911975
INDFMPIR,0.11114861311942353
DMDEDUC2,0.08555910007118504
LBXMAGN,0.08320694342880008
LBXSTR,0.08062228392793802
LBXSLDSI,0.07641288441903614
LBXSGL,0.0719369581937075
LBXSTP,0.061158938529260354
LBXSOSSI,0.052523583039677454
LBXSGB,0.05218291497057939
LBXSPH,0.048201705031505795
BMXHT,0.04641735088063787
RIDRETH3,0.04449589531070779
BPX_PLS_MEAN,0.04117726322178843
LBXSATSI,0.04014044831418576
LBXSC3SI,0.035437652662111005
LBXSKSI,0.033995608463578034
BMXARML,0.03259320162834238
BPX_DIA_MEAN,0.03222661038454113
LBXSCLSI,0.031949120540143656
LBXSCA,0.03187823936482582
LBXSAPSI,0.0311931226302442
BMXWT,0.029359181620928414
LBXSAL,0.02809487966922681
LBXSCK,0.022820615185407126
BMXLEG,0.022818605704616517
DMDHHSIZ,0.02055297773013857
DIQ180,0.020359411453560048
LBXSGTSI,0.020227326304832188
DMDMARTZ,0.01967070132225916
LBXSNASI,0.01966463445312304
RIAGENDR,0.016037201811067072
LBXSASSI,0.014765695539834115
LBXSTB,0.014113281887558497
DMDBORN4,0.006127111802261079
DMQMILIZ,0.0019263214538054448
DIQ160,0.0016904284531031927
